condition,metric,target,type,n,spearman_rho,spearman_p,abs_rho
constrained,median_dist,titer,individual,16,0.048565134560683974,0.8582465098077368,0.048565134560683974
constrained,iptm,titer,individual,16,-0.030905085629526156,0.9095400980389841,0.030905085629526156
constrained,pair_iptm_L_substrate__S_substrate2,titer,individual,16,0.014716707442631503,0.9568602193882964,0.014716707442631503
constrained,ligand_iptm,titer,individual,16,-0.007358353721315752,0.9784231020466425,0.007358353721315752
constrained,composite(-entrance+complex_pde),titer (Ki-subset),composite,5,0.7,0.1881204043741873,0.7
constrained,composite(-entrance+complex_ipde),titer (Ki-subset),composite,5,0.7,0.1881204043741873,0.7
constrained,composite(-entrance+pair_iptm_A_protein__T_atp),titer (Ki-subset),composite,5,0.7,0.1881204043741873,0.7
constrained,frac_entrance,titer (Ki-subset),individual,5,-0.39999999999999997,0.5046315754686911,0.39999999999999997
constrained,composite(-entrance+chain_ptm_A_protein),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
constrained,composite(-entrance+mean_dist),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
constrained,composite(-entrance+median_dist),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
constrained,composite(-entrance+mean_entrance_contacts),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
constrained,composite(-entrance+mean_mg_s_dist),titer (Ki-subset),composite,5,0.39999999999999997,0.5046315754686911,0.39999999999999997
constrained,composite(-entrance+chain_ptm_L_substrate),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
constrained,composite(-entrance+chain_ptm_S_substrate2),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
constrained,composite(-entrance+pair_iptm_A_protein__L_substrate),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
constrained,composite(-entrance+pair_iptm_A_protein__S_substrate2),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
constrained,composite(-entrance+pair_iptm_L_substrate__L_substrate),titer (Ki-subset),composite,5,0.3,0.6238376647810728,0.3
constrained,composite(-entrance+pair_iptm_S_substrate2__S_substrate2),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
constrained,composite(-entrance+pair_iptm_S_substrate2__T_atp),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
constrained,composite(-entrance+mean_contacts),titer (Ki-subset),composite,5,-0.3,0.6238376647810728,0.3
constrained,composite(-entrance+ptm),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+iptm),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+ligand_iptm),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+complex_plddt),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+complex_iplddt),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+chain_ptm_T_atp),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+pair_iptm_L_substrate__S_substrate2),titer (Ki-subset),composite,5,-0.09999999999999999,0.8728885715695383,0.09999999999999999
constrained,composite(-entrance+confidence_score),titer (Ki-subset),composite,5,0.0,1.0,0.0
constrained,composite(-entrance+pair_iptm_L_substrate__T_atp),titer (Ki-subset),composite,5,0.0,1.0,0.0
no_atp,confidence_score,titer,individual,16,-0.48123633337405025,0.05913024528947233,0.48123633337405025
no_atp,complex_plddt,titer,individual,16,-0.4724063089084713,0.06463994323054133,0.4724063089084713
no_atp,mean_contacts,titer,individual,16,0.42413015401490683,0.10157229407789219,0.42413015401490683
no_atp,complex_iplddt,titer,individual,16,-0.41648282062647163,0.10855889816874535,0.41648282062647163
no_atp,median_dist,titer,individual,16,-0.3988227716953138,0.12596731375787296,0.3988227716953138
no_atp,mean_dist,titer,individual,16,-0.32818257597068257,0.21461589234374495,0.32818257597068257
no_atp,frac_close,titer,individual,16,-0.3133426293025615,0.23730271406377793,0.3133426293025615
no_atp,mean_entrance_contacts,titer,individual,16,0.2793810651402006,0.2946729372420085,0.2793810651402006
no_atp,frac_entrance,titer,individual,16,-0.2792005996773491,0.2949980436118089,0.2792005996773491
no_atp,pair_iptm_L_substrate__S_substrate2,titer,individual,16,0.2369389898263672,0.37693674370191366,0.2369389898263672
no_atp,mean_mg_s_dist,titer,individual,16,-0.2281089653607883,0.3954878909103696,0.2281089653607883
no_atp,pair_iptm_A_protein__S_substrate2,titer,individual,16,0.21192058717389364,0.43073618740853403,0.21192058717389364
