condition,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman,target
no_constraint,chain_ptm_L_substrate,18,0.410711278115145,0.09044405476832848,0.45501648509814935,0.05778545821166599,0.45501648509814935,kcat
no_constraint,pair_iptm_L_substrate__L_substrate,18,0.410711278115145,0.09044405476832848,0.45501648509814935,0.05778545821166599,0.45501648509814935,kcat
no_constraint,frac_active_site,18,-0.36932463303126206,0.13146728488922751,-0.41770270117505487,0.08456095065832263,0.41770270117505487,kcat
no_constraint,pair_iptm_L_substrate__T_atp,18,0.3542966503693544,0.14915356102311075,0.4157196068396729,0.0862004781430864,0.4157196068396729,kcat
no_constraint,pair_iptm_A_protein__L_substrate,18,0.3816527025040001,0.11809706639148711,0.3629790597032964,0.138746574405955,0.3629790597032964,kcat
no_constraint,mean_entrance_contacts,18,0.22078730876974992,0.3786370541336039,0.27008816485604203,0.2783969750337167,0.27008816485604203,kcat
no_constraint,complex_iplddt,18,0.19227674979253537,0.44464588373773273,0.25542970868009746,0.3063102097771601,0.25542970868009746,kcat
no_constraint,complex_plddt,18,0.1059380059923194,0.6756761859316429,0.21923521554729014,0.38208294369039797,0.21923521554729014,kcat
no_constraint,ptm,18,0.16574760722663384,0.5109920510678649,0.17787008053836748,0.4801106499963418,0.17787008053836748,kcat
no_constraint,confidence_score,18,0.20771034938813393,0.4082073243474009,0.16442641166046762,0.5144132824973341,0.16442641166046762,kcat
no_constraint,complex_pde,18,-0.16760932694158115,0.5061894246193487,-0.16442641166046762,0.5144132824973341,0.16442641166046762,kcat
no_constraint,complex_ipde,18,-0.23031434506814094,0.3578670057262304,-0.16235815491002145,0.519790512547925,0.16235815491002145,kcat
no_constraint,mean_dist,18,0.004577459343181611,0.9856179146449133,0.13547081715422174,0.5919770839437616,0.13547081715422174,kcat
no_constraint,pair_iptm_A_protein__S_substrate2,18,-0.09253344710368684,0.7149718429678182,-0.1334025604037756,0.5976968189955838,0.1334025604037756,kcat
no_constraint,mean_mg_s_dist,18,0.008653536903860334,0.9728145598464162,0.13133430365332946,0.6034390924906099,0.13133430365332946,kcat
no_constraint,frac_close,18,-0.0488704589366262,0.8472966848291941,-0.12962141217768725,0.6082116018714732,0.12962141217768725,kcat
no_constraint,iptm,18,0.1424031884094838,0.5729735952950541,0.1271977901524372,0.6149901510754328,0.1271977901524372,kcat
